"","state","year","smoothed_pcinc","nat_avg_pcinc","index_number","allotment_pct","population","weighted_pop","allocation_share","total_federal_hbfunds","predicted_allocation"
"89","Connecticut",1955,2277.66666666667,1641.98611111111,1.38714125001057,0.33,2300000,250470,0.00669684300844378,9.6e+07,642896.928810603
"90","Connecticut",1956,2341.33333333333,1678.21527777778,1.39513289167146,0.33,2316000,252212.4,0.00667841957207601,109800000,733290.469013945
"91","Connecticut",1957,2401,1717.28472222222,1.39813740198715,0.33,2359000,256895.1,0.00674466001833615,123800000,834988.910270016
"92","Connecticut",1958,2498.66666666667,1771.44444444444,1.41052499529574,0.33,2446000,266369.4,0.00691122887991404,1.2e+08,829347.465589684
"93","Connecticut",1959,2652.66666666667,1854.77083333333,1.43018566983792,0.33,2523000,274754.7,0.00702486323119917,1.85e+08,1299599.69777185
"94","Connecticut",1960,2701.33333333333,1922.90972222222,1.40481547423429,0.33,2544000,277041.6,0.00692910354597427,1.85e+08,1281884.15600524
"95","Connecticut",1961,2711.33333333333,1984.125,1.36651336651337,0.33,2586000,281615.4,0.00693310800937147,1.85e+08,1282624.98173372
"96","Connecticut",1962,2709,2041.64583333333,1.3268706823539,0.336564658823049,2647000,299840.962048284,0.00726880595728707,209728000,1524472.1358099
"97","Delaware",1947,1498.66666666667,1099.90972222222,1.36253606672265,0.33,306000,33323.4,0.000996546379659766,7.5e+07,74740.9784744824
"98","Delaware",1948,1530.33333333333,1142.67361111111,1.33925673827828,0.330371630860859,312000,34053.369317031,0.00100787464282346,7.5e+07,1e+05
"99","Delaware",1949,1580.66666666667,1187.54861111111,1.33103323255773,0.334483383721134,316000,35353.8063394305,0.00102027672527674,7.5e+07,2e+05
"100","Delaware",1950,1630.66666666667,1255.18055555556,1.29914908213736,0.350425458931318,321000,39418.1587277792,0.0011099584198143,1.5e+08,2e+05
"101","Delaware",1951,1708.33333333333,1298.19444444444,1.3159302449984,0.342034877500802,331000,38722.9808083333,0.00108001997691017,8.5e+07,2e+05
"102","Delaware",1952,1844.66666666667,1355.4375,1.36093819646178,0.33,341000,37134.9,0.00102770306486304,82500000,2e+05
"103","Delaware",1953,2002.33333333333,1430.39583333333,1.39984561383067,0.33,351000,38223.9,0.00104945073056863,7.5e+07,2e+05
"104","Delaware",1954,2150.66666666667,1547.58333333333,1.38969360831404,0.33,368000,40075.2,0.00108376039915384,6.5e+07,2e+05
"105","Delaware",1955,2239.66666666667,1641.98611111111,1.36399854512235,0.33,389000,42362.1,0.00113263996968897,9.6e+07,2e+05
"106","Delaware",1956,2289.33333333333,1678.21527777778,1.36414759396349,0.33,408000,44431.2,0.00117650914741235,109800000,2e+05
"107","Delaware",1957,2376.33333333333,1717.28472222222,1.38377364136698,0.33,426000,46391.4,0.00121798438652446,123800000,2e+05
"108","Delaware",1958,2513.33333333333,1771.44444444444,1.41880449099918,0.33,433000,47153.7,0.00122345139206982,1.2e+08,2e+05
"109","Delaware",1959,2626.66666666667,1854.77083333333,1.41616776555954,0.33,441000,48024.9,0.0012278892924926,1.85e+08,227159.519111131
"110","Delaware",1960,2684.33333333333,1922.90972222222,1.39597470557857,0.33,449000,48896.1,0.00122294319659687,1.85e+08,226244.491370422
"111","Delaware",1961,2682.33333333333,1984.125,1.35189735189735,0.33,461000,50202.9,0.00123594848890961,1.85e+08,228650.470448278
"112","Delaware",1962,2742.33333333333,2041.64583333333,1.3431973795651,0.33,469000,51074.1,0.0012381487832983,209728000,259674.468023586
"113","Florida",1947,1097,1099.90972222222,0.997354580868379,0.50132270956581,2539000,638112.801721945,0.0190829567922407,7.5e+07,1431221.75941805
"114","Florida",1948,1148.66666666667,1142.67361111111,1.00524476586952,0.49737761706524,2578000,637757.225422427,0.0188756457487816,7.5e+07,1415673.43115862
"115","Florida",1949,1164.33333333333,1187.54861111111,0.98045109264533,0.509774453677335,2668000,693333.142983563,0.0200089252584986,7.5e+07,1500669.39438739
"116","Florida",1950,1172.33333333333,1255.18055555556,0.933995773073816,0.533002113463092,2810000,798296.420806705,0.022478874264555,1.5e+08,3371831.13968325
"117","Florida",1951,1185.66666666667,1298.19444444444,0.913319781748155,0.543340109125923,2980000,879751.053071209,0.024537075715519,8.5e+07,2085651.43581911
"118","Florida",1952,1232.33333333333,1355.4375,0.909177541076836,0.545411229461582,3157000,939123.552916363,0.0259901104787469,82500000,2144184.11449662
"119","Florida",1953,1294.66666666667,1430.39583333333,0.905110764794128,0.547444617602936,3310000,991992.466923427,0.0272355049885377,7.5e+07,2042662.87414033
"120","Florida",1954,1383.66666666667,1547.58333333333,0.894082171127026,0.552958914436487,3505000,1071701.281497,0.0289821986817,6.5e+07,1883842.9143105
"121","Florida",1955,1471,1641.98611111111,0.895866286593979,0.55206685670301,3747000,1142002.47006947,0.0305338414073952,9.6e+07,2931248.77510994
"122","Florida",1956,1528.33333333333,1678.21527777778,0.910689679429619,0.544655160285191,4047000,1200539.48895153,0.031789501309468,109800000,3490487.24377958
"123","Florida",1957,1594.66666666667,1717.28472222222,0.928597713606347,0.535701143196826,4372000,1254657.82520347,0.0329404510648216,123800000,4078027.84182492
"124","Florida",1958,1670.66666666667,1771.44444444444,0.943109828764975,0.528445085617512,4630000,1292946.98541658,0.0335468433904527,1.2e+08,4025621.20685432
"125","Florida",1959,1763.33333333333,1854.77083333333,0.950701456828674,0.524649271585663,4808000,1323434.97410716,0.0338372726235017,1.85e+08,6259895.43534782
"126","Florida",1960,1834.33333333333,1922.90972222222,0.953936272792607,0.523031863603697,5004000,1368905.90104516,0.0342377849862155,1.85e+08,6333990.22244986
"127","Florida",1961,1905,1984.125,0.96012096012096,0.51993951993952,5243000,1417377.43834266,0.0348945081486166,1.85e+08,6455484.00749407
"128","Florida",1962,1966,2041.64583333333,0.962948601516342,0.518525699241829,5458000,1467486.46042573,0.0355751070597985,209728000,7461096.05343742
"129","Georgia",1947,808.333333333333,1099.90972222222,0.734908799333279,0.632545600333361,3271000,1308772.68629507,0.0391392439644496,7.5e+07,2935443.29733372
"130","Georgia",1948,847.666666666667,1142.67361111111,0.741827463611778,0.629086268194111,3259000,1289747.72749425,0.0381725525623837,7.5e+07,2862941.44217878
"131","Georgia",1949,864.666666666667,1187.54861111111,0.728110545182361,0.63594472740882,3325000,1344715.44026093,0.0388071896034658,7.5e+07,2910539.22025994
"132","Georgia",1950,899.333333333333,1255.18055555556,0.716497183893419,0.64175140805329,3458000,1424159.55955532,0.0401022763443651,1.5e+08,6015341.45165477
"133","Georgia",1951,939.333333333333,1298.19444444444,0.723569059591313,0.638215470204344,3531000,1438243.34100718,0.040113945453587,8.5e+07,3409685.3635549
"134","Georgia",1952,999,1355.4375,0.737031401300318,0.631484299349841,3584000,1429200.35444609,0.0395529161130794,82500000,3263115.57932905
"135","Georgia",1953,1072.33333333333,1430.39583333333,0.749675934691737,0.625162032654131,3558000,1390564.48364305,0.0381784410607495,7.5e+07,2863383.07955622
"136","Georgia",1954,1177,1547.58333333333,0.760540627860643,0.619729686069678,3602000,1383401.71143327,0.0374115660301888,6.5e+07,2431751.79196227
"137","Georgia",1955,1264.33333333333,1641.98611111111,0.770002452991381,0.61499877350431,3636000,1375220.61477332,0.0367694197273625,9.6e+07,3529864.2938268
"138","Georgia",1956,1296.33333333333,1678.21527777778,0.772447581963312,0.613776209018344,3701000,1394245.2898354,0.0369187043615282,109800000,4053673.7388958
"139","Georgia",1957,1344.66666666667,1717.28472222222,0.783019058672242,0.608490470663879,3766000,1394401.61877903,0.0366093586358094,123800000,4532238.59911321
"140","Georgia",1958,1403.66666666667,1771.44444444444,0.792385372890924,0.603807313554538,3804000,1386874.76631501,0.0359838965653725,1.2e+08,4318067.5878447
"141","Georgia",1959,1478.33333333333,1854.77083333333,0.797043659931034,0.601478170034483,3868000,1399349.52556042,0.0357782379326192,1.85e+08,6618974.01753455
