"","stateyear","predicted","hbfunds"
"295","massachusetts_1953",1782487.23029856,1660768
"296","massachusetts_1954",1543309.54782516,1e+06
"297","massachusetts_1955",2277316.00190574,814002
"298","massachusetts_1956",2600856.01166441,2622592
"299","massachusetts_1957",2877431.28826788,3397095
"300","massachusetts_1958",2726561.44059599,2016558
"301","massachusetts_1959",4091642.86936886,3809792
"302","massachusetts_1960",4035741.89780513,1820664
"303","massachusetts_1961",4006895.35527577,4954250
"304","massachusetts_1962",4513210.99394785,4602465
"305","michigan_1947",2000095.69571589,NA
"306","michigan_1948",2325047.37095293,3217350
"307","michigan_1949",2455982.94213025,6749776
"308","michigan_1950",4843459.96352637,1481934
"309","michigan_1951",2675188.78205231,1221103
"310","michigan_1952",2548072.12601844,2918850
"311","michigan_1953",2263904.27281739,2163441
"312","michigan_1954",1955649.86399129,1344352
"313","michigan_1955",2729315.43471176,3411149
"314","michigan_1956",3092372.29621324,3703981
"315","michigan_1957",3312246.33312726,3288960
"316","michigan_1958",3431297.1083469,6999179
"317","michigan_1959",5471233.57426603,4420980
"318","michigan_1960",6019109.60975457,2772936
"319","michigan_1961",6330619.80003743,5989056
"320","michigan_1962",7315154.95136699,6370161
"321","minnesota_1947",1821232.98536587,NA
"322","minnesota_1948",1731988.82285564,2016726
"323","minnesota_1949",1612892.19058187,2246066
"324","minnesota_1950",2996430.1369182,5843367
"325","minnesota_1951",1682471.67399276,1289353
"326","minnesota_1952",1634976.15858506,971467
"327","minnesota_1953",1551270.82784674,NA
"328","minnesota_1954",1379084.39768653,1266997
"329","minnesota_1955",2057782.15457025,2225530
"330","minnesota_1956",2346277.20023103,4041817
"331","minnesota_1957",2609864.37317471,1556791
"332","minnesota_1958",2564561.74922903,3673364
"333","minnesota_1959",4023810.5949548,1581353
"334","minnesota_1960",3975282.98387553,5354661
"335","minnesota_1961",3914463.68944296,3427646
"336","minnesota_1962",4355044.36472926,4624857
"337","mississippi_1947",2527787.93634354,1781395
"338","mississippi_1948",2455859.63519763,8443811
"339","mississippi_1949",2439063.92643079,2488052
"340","mississippi_1950",4862984.53778978,465289
"341","mississippi_1951",2691548.52263281,3e+06
"342","mississippi_1952",2569891.43416235,2205959
"343","mississippi_1953",2318158.97499901,638952
"344","mississippi_1954",1932328.34973731,934267
"345","mississippi_1955",2804433.32368383,2590479
"346","mississippi_1956",3202777.73406062,4425464
"347","mississippi_1957",3512546.58397449,1766253
"348","mississippi_1958",3341463.47075325,4547037
"349","mississippi_1959",5208536.86344367,3306290
"350","mississippi_1960",5210576.36481181,3865348
"351","mississippi_1961",5079681.88090096,6301210
"352","mississippi_1962",5671642.75289243,2772317
"353","missouri_1947",2353966.1975243,NA
"354","missouri_1948",2199695.76942807,5389363
"355","missouri_1949",2145204.36982876,758868
"356","missouri_1950",4195872.41715148,3614945
"357","missouri_1951",2375445.96358209,508997
"358","missouri_1952",2225362.54335517,2762075
"359","missouri_1953",2071557.76080659,2419558
"360","missouri_1954",1802044.08470829,1139386
"361","missouri_1955",2645169.93832982,1119272
"362","missouri_1956",2940747.72063726,3482974
"363","missouri_1957",3253432.03571762,4408033
"364","missouri_1958",3106028.11174201,2707051
"365","missouri_1959",4856326.09423677,5145212
"366","missouri_1960",4738392.40621494,5445470
"367","missouri_1961",4582019.21426142,2614901
"368","missouri_1962",5010431.14375554,6726075
"369","montana_1947",261866.356741764,NA
"370","montana_1948",262102.612702511,507723
"371","montana_1949",245348.801204266,106648
"372","montana_1950",441837.618767352,381071
"373","montana_1951",255025.426110648,190132
"374","montana_1952",248444.918081065,431658
"375","montana_1953",238356.771718926,153621
"376","montana_1954",204413.094509184,NA
"377","montana_1955",328868.592238112,269331
"378","montana_1956",411005.107949269,586353
"379","montana_1957",477116.55994434,350277
"380","montana_1958",465460.458999924,1504476
"381","montana_1959",723323.997958871,820828
"382","montana_1960",728438.791838428,39650
"383","montana_1961",762520.870594612,1235409
"384","montana_1962",880536.270472466,1942423
"385","nebraska_1947",725333.332371197,NA
"386","nebraska_1948",702829.714002267,980107
"387","nebraska_1949",690999.468882053,299572
"388","nebraska_1950",1265198.16567681,1414200
"389","nebraska_1951",689655.239558358,672918
"390","nebraska_1952",617093.469015239,1049759
"391","nebraska_1953",597630.69854052,659841
"392","nebraska_1954",506186.513558147,283688
"393","nebraska_1955",822554.28896525,1118187
"394","nebraska_1956",946308.7029313,1369816
"395","nebraska_1957",1160541.27999842,946164
"396","nebraska_1958",1169725.78008893,1975863
"397","nebraska_1959",1824470.68322837,2158033
"398","nebraska_1960",1681873.21941829,1821437
"399","nebraska_1961",1579864.60632706,4050611
"400","nebraska_1962",1766038.51382195,172148
"401","nevada_1947",36393.4829826728,NA
"402","nevada_1948",1e+05,NA
"403","nevada_1949",2e+05,9108
"404","nevada_1950",2e+05,251840
"405","nevada_1951",2e+05,87508
"406","nevada_1952",2e+05,NA
"407","nevada_1953",2e+05,461996
"408","nevada_1954",2e+05,437955
"409","nevada_1955",2e+05,NA
"410","nevada_1956",2e+05,516774
"411","nevada_1957",2e+05,400160
